NORTH WEST  INDIA MONTHLY, SEASONAL AND ANNUAL RAINFALL SERIES FOR THE PERIOD 1826-2006. THE RAINFALL FIGURES ARE IN MM.
Blank spaces indicate data not available.
YEAR      J      F      M      A      M      J     JU      A      S      O      N      D    ANN     JF    MAM   JJAS    OND
1849   42.1    2.4    0.4    2.8    8.0  113.3  149.9  228.1  172.5   30.7    7.7    0.6  758.4   44.5   11.2  663.7   39.0
1850   38.2   20.0    2.4   10.2    0.7   72.4  158.5  221.2  125.9   14.1    1.6    7.8  672.9   58.1   13.3  578.0   23.5
1851   33.8   22.1    3.0    4.9    6.5   44.9  294.3  137.5   78.7   13.3    6.2    0.0  645.3   55.9   14.4  555.4   19.5
1852    2.1    3.3   45.0    6.4   29.5  125.8  172.0  246.8   70.7    4.3    6.6    4.0  716.5    5.4   80.9  615.3   14.9
1853   19.7    6.1    1.6    7.0   13.5  118.7  286.3   70.9   26.0   77.0    0.0    0.0  626.8   25.8   22.0  501.9   77.0
1854    6.9   17.7    0.0    1.9    6.4  132.6  207.5  276.2  149.3   28.5   13.5   14.6  855.0   24.5    8.3  765.6   56.6
1855    9.2    4.6   24.0   18.8    0.0   90.7  307.4   42.7  135.5   16.8    0.0    0.0  649.7   13.8   42.8  576.3   16.8
1856    3.8    4.8    0.0    0.3   11.3  116.9  318.9  247.3  118.6    8.7    5.4    1.8  837.8    8.7   11.6  801.7   15.9
1857   36.6   16.1    0.0    9.5    6.7  107.0  180.1  258.2  168.7   15.8    9.9    0.0  808.5   52.6   16.2  714.0   25.7
1858   16.9    8.8    1.4    0.0    2.3   60.8  304.6  135.7  141.7    8.4    0.0    3.4  684.1   25.7    3.7  642.9   11.8
1859   23.1    9.8   11.1   31.1    8.8  109.4  173.0  184.4  141.8    7.3    0.0   24.5  724.4   32.9   51.0  608.7   31.8
1860   11.2   14.0    3.4    0.5   15.6   37.0  223.5  142.7   68.9   13.3    0.0    0.0  530.2   25.2   19.5  472.2   13.3
1861   13.6    0.0    4.2    1.1   15.0  154.8  326.0  213.6  102.4    5.7    0.0    3.9  840.2   13.6   20.2  796.8    9.6
1862    5.1    0.7   13.6    2.8   12.9  125.6  317.4  182.1  178.6   50.0    7.9    0.0  896.7    5.8   29.3  803.7   57.9
1863   18.4    0.2   10.2    1.4    6.8  199.4  339.4  186.8   48.2   36.2    2.2    2.9  852.0   18.6   18.4  773.7   41.3
1864    9.4   12.4    2.2    8.6   26.5   39.0  223.2  178.9   87.2    0.2    2.3    0.8  590.6   21.8   37.3  528.2    3.4
1865   14.0   24.3   29.4    7.1   18.8   43.3  188.4  293.2  127.5    8.1    0.0   14.0  768.0   38.3   55.3  652.3   22.1
1866   18.7    7.5    0.0    7.7    1.0   93.5  259.3  265.8   37.2    5.3    0.0    0.7  696.7   26.1    8.7  655.9    6.0
1867    6.0    5.4    6.5    9.2   20.1  118.4  269.5  308.4  114.6   44.5    0.0   10.0  912.5   11.4   35.7  810.9   54.5
1868   17.5   16.8   11.5    8.6   10.6   66.4  186.7  107.8   47.1    0.3    0.0    1.6  474.8   34.3   30.6  408.0    1.9
1869   15.0    3.6   32.3    0.2    2.0   49.9  247.5  125.3  244.5   49.4    0.0   11.6  781.3   18.6   34.4  667.3   61.0
1870    6.3    1.4   23.1    7.0    5.1  180.2  244.6  182.0  110.9   19.6    0.8    4.2  785.2    7.7   35.3  717.6   24.6
1871   11.3   18.2    0.2    3.1   30.9  206.3  267.7  180.1  115.9    0.8   10.4   11.6  856.3   29.4   34.1  770.0   22.8
1872   15.4    4.9    5.5    7.1   10.0  103.1  272.4  285.3  114.6    5.3    0.3    8.5  832.4   20.4   22.6  775.3   14.0
1873    7.1   11.7    5.0    1.0   19.1   46.1  273.0  210.1  192.0    8.6    1.5    2.9  778.1   18.8   25.1  721.2   13.0
1874    8.1    5.8    8.2    0.5    7.8  157.7  304.2  224.3  117.6    0.8    0.0    0.4  835.3   13.9   16.5  803.7    1.2
1875    1.7   24.5    1.9    1.2   14.2   72.5  306.4  184.3  288.3    9.6    0.0    4.8  909.4   26.2   17.3  851.5   14.4
1876    0.7    2.0    7.7    6.7   11.1   42.3  320.4  164.0  161.6   14.1    0.4    0.0  731.1    2.7   25.4  688.4   14.6
1877   35.2   28.0   10.3   12.4   17.1   75.2  102.1   63.9   67.4   71.1    7.9   54.1  544.8   63.2   39.8  308.7  133.0
1878   13.6   13.3    3.1   17.2   34.0   60.2  292.8  308.9  139.0    8.8    0.4    2.8  894.0   26.9   54.3  800.9   11.9
1879    1.9   11.3    5.6    0.2   11.3  145.3  169.2  323.8  114.2   32.1    0.1    6.8  821.8   13.2   17.1  752.5   39.0
1880    1.7   13.3    0.1    0.5    7.1   96.1  260.3  114.5  194.7   24.7    9.6    7.8  730.4   15.0    7.7  665.5   42.1
1881    1.4    7.5   33.1    4.9    8.4  102.8  359.9  256.8   63.3    6.2    1.8    2.4  848.5    8.9   46.4  782.8   10.4
